,ST,COUNTY_NAME,COUNTY_ID,POSTAL_CODE,BROADBAND_USAGE,ERROR_RANGE_(MAE)(+/-),ERROR_RANGE_(95%)(+/-),MSD,BROADBAND_AVAILABILITY_PER_FCC_2019,BROADBAND_USAGE_2019,BROADBAND_AVAILABILITY_PER_FCC_2020,BROADBAND_USAGE_2020
0,SC,Abbeville,45001,29639,0.948,0.034,0.11,0.002,0.95,0.3,0.9614,0.399
1,SC,Abbeville,45001,29620,0.398,0.002,0.007,0.0,0.95,0.3,0.9614,0.399
2,SC,Abbeville,45001,29659,0.206,0.152,0.608,0.043,0.95,0.3,0.9614,0.399
3,SC,Abbeville,45001,29638,0.369,0.01,0.031,-0.001,0.95,0.3,0.9614,0.399
4,SC,Abbeville,45001,29628,0.221,0.014,0.043,0.0,0.95,0.3,0.9614,0.399
5,LA,Acadia Parish,22001,70516,0.032,0.041,0.136,0.004,0.72,0.15,0.7202,0.22
6,LA,Acadia Parish,22001,70559,0.091,0.014,0.043,0.0,0.72,0.15,0.7202,0.22
7,LA,Acadia Parish,22001,70531,0.053,0.023,0.072,0.0,0.72,0.15,0.7202,0.22
8,LA,Acadia Parish,22001,70578,0.201,0.002,0.007,0.0,0.72,0.15,0.7202,0.22
9,LA,Acadia Parish,22001,70537,0.181,0.05,0.17,0.007,0.72,0.15,0.7202,0.22
10,LA,Acadia Parish,22001,70543,0.068,0.01,0.031,-0.001,0.72,0.15,0.7202,0.22
11,LA,Acadia Parish,22001,70556,0.139,0.065,0.228,0.013,0.72,0.15,0.7202,0.22
12,LA,Acadia Parish,22001,70534,0.083,0.034,0.11,0.002,0.72,0.15,0.7202,0.22
13,LA,Acadia Parish,22001,70525,0.138,0.003,0.01,-0.001,0.72,0.15,0.7202,0.22
14,LA,Acadia Parish,22001,70526,0.381,0.002,0.007,0.0,0.72,0.15,0.7202,0.22
15,VA,Accomack,51001,23306,0.082,0.034,0.11,0.002,0.58,0.1,0.9048,0.169
16,VA,Accomack,51001,23337,0.122,0.041,0.136,0.004,0.58,0.1,0.9048,0.169
17,VA,Accomack,51001,23395,0.0,0.05,0.17,0.007,0.58,0.1,0.9048,0.169
18,VA,Accomack,51001,23336,1.0,0.01,0.031,-0.001,0.58,0.1,0.9048,0.169
19,VA,Accomack,51001,23442,0.322,0.027,0.086,0.001,0.58,0.1,0.9048,0.169
20,VA,Accomack,51001,23480,0.0,0.065,0.228,0.013,0.58,0.1,0.9048,0.169
21,VA,Accomack,51001,23440,0.0,0.05,0.17,0.007,0.58,0.1,0.9048,0.169
22,VA,Accomack,51001,23359,0.042,0.034,0.11,0.002,0.58,0.1,0.9048,0.169
23,VA,Accomack,51001,23426,0.187,0.11,0.406,0.031,0.58,0.1,0.9048,0.169
24,VA,Accomack,51001,23421,0.068,0.01,0.031,-0.001,0.58,0.1,0.9048,0.169
25,VA,Accomack,51001,23410,0.036,0.014,0.043,0.0,0.58,0.1,0.9048,0.169
26,VA,Accomack,51001,23422,0.02,0.152,0.608,0.043,0.58,0.1,0.9048,0.169
27,VA,Accomack,51001,23357,0.0,0.027,0.086,0.001,0.58,0.1,0.9048,0.169
28,VA,Accomack,51001,23303,0.065,0.027,0.086,0.001,0.58,0.1,0.9048,0.169
29,VA,Accomack,51001,23302,0.0,0.11,0.406,0.031,0.58,0.1,0.9048,0.169
30,VA,Accomack,51001,23488,0.028,0.11,0.406,0.031,0.58,0.1,0.9048,0.169
31,VA,Accomack,51001,23416,0.0,0.05,0.17,0.007,0.58,0.1,0.9048,0.169
32,VA,Accomack,51001,23420,0.042,0.01,0.031,-0.001,0.58,0.1,0.9048,0.169
33,VA,Accomack,51001,23441,0.362,0.11,0.406,0.031,0.58,0.1,0.9048,0.169
34,VA,Accomack,51001,23417,0.081,0.01,0.031,-0.001,0.58,0.1,0.9048,0.169
35,VA,Accomack,51001,23308,0.011,0.016,0.048,0.0,0.58,0.1,0.9048,0.169
36,VA,Accomack,51001,23407,0.035,0.065,0.228,0.013,0.58,0.1,0.9048,0.169
37,VA,Accomack,51001,23358,0.207,0.152,0.608,0.043,0.58,0.1,0.9048,0.169
38,VA,Accomack,51001,23301,0.247,0.023,0.072,0.0,0.58,0.1,0.9048,0.169
39,VA,Accomack,51001,23415,0.016,0.018,0.054,0.0,0.58,0.1,0.9048,0.169
40,VA,Accomack,51001,23414,0.0,0.152,0.608,0.043,0.58,0.1,0.9048,0.169
41,VA,Accomack,51001,23423,0.0,0.05,0.17,0.007,0.58,0.1,0.9048,0.169
42,VA,Accomack,51001,23418,0.278,0.034,0.11,0.002,0.58,0.1,0.9048,0.169
43,VA,Accomack,51001,23389,0.342,0.152,0.608,0.043,0.58,0.1,0.9048,0.169
44,VA,Accomack,51001,23409,0.619,0.152,0.608,0.043,0.58,0.1,0.9048,0.169
45,VA,Accomack,51001,23427,0.0,0.083,0.302,0.021,0.58,0.1,0.9048,0.169
46,VA,Accomack,51001,23401,0.008,0.083,0.302,0.021,0.58,0.1,0.9048,0.169
47,VA,Accomack,51001,23356,0.04,0.023,0.072,0.0,0.58,0.1,0.9048,0.169
48,ID,Ada,16001,83616,0.965,0.002,0.005,0.0,0.97,0.62,0.9914,0.86
49,ID,Ada,16001,83714,0.433,0.002,0.005,0.0,0.97,0.62,0.9914,0.86
50,ID,Ada,16001,83702,1.0,0.001,0.004,0.0,0.97,0.62,0.9914,0.86
